step_no,rule_id,derived_fact,antecedents_json,derivation_kind,contradiction,notes
1,v10-01,normalized_signed_flt_solution,"[""hypothetical_primitive_flt_solution_p_ge_5""]",elementary,0,Normalization.
2,v10-02,frey_curve_exists,"[""normalized_signed_flt_solution""]",definition,0,Frey construction.
3,v10-03,frey_minimal_model_exists,"[""normalized_signed_flt_solution""]",algebraic,0,Integral minimal model.
4,v10-04,frey_curve_semistable,"[""frey_minimal_model_exists""]",local-arithmetic,0,Semistability.
5,v10-05,frey_discriminant_flt_shape,"[""frey_minimal_model_exists""]",algebraic,0,Valuation profile.
6,v10-06,frey_full_rational_2_torsion,"[""frey_curve_exists""]",algebraic,0,Visible rational two-torsion.
7,v10-32,rho_unramified_all_bad_q_ne_p,"[""frey_discriminant_flt_shape""]",tate-kummer-derived,0,Away-from-p criterion.
8,v10-33,finite_flat_endpoints_and_cocycle_witnessed,"[""frey_discriminant_flt_shape""]",finite-flat-algebra,0,Finite-flat boundary.
9,v10-37,no_level_2_weight_2_newform,"[""dim_s2_gamma0_2_zero""]",computed,0,Level-2 space is zero.
10,v12-case-01,mod3_case_partition_certified,"[""frey_curve_semistable""]",logical-partition,0,"E[3] is irreducible or reducible, exclusively."
11,v12-case-02,mod3_projective_image_solvable,"[""mod3_case_partition_certified""]",finite-group-proof,0,Universal finite projective-image fact.
12,v12-case-03,mod3_oddness_profile,"[""mod3_case_partition_certified""]",finite-representation-profile,0,Oddness profile.
13,v15-sign-01,rho_p_odd,"[""frey_curve_exists""]",structural-oddness,0,Complex conjugation has +1 and -1 eigenlines.
14,v17-ff-01,finite_flat_endpoint_and_kummer_contract_ready,"[""finite_flat_endpoints_and_cocycle_witnessed""]",internal-finite-flat-schema,0,Endpoint and Kummer contract.
15,v18-fs-01,mod3_brauer_character_contract_ready,"[""mod3_projective_image_solvable"", ""mod3_oddness_profile""]",internal-finite-image-compiler,0,"Finite image, Brauer traces, determinant, and oddness."
16,v18-irred-01,frey_exponent_prime_partition_certified,"[""frey_curve_exists"", ""frey_full_rational_2_torsion""]",logical-partition,0,"p is 5/7, 11, or greater than 11."
17,v18-x015-01,x015_rank_zero_and_points_certified,"[""frey_curve_semistable"", ""mod3_case_partition_certified""]",internal-2-isogeny-descent,0,X0(15)(Q) consists of eight explicitly enumerated points.
18,v18-x015-02,x015_noncuspidal_points_nonsemistable,"[""x015_rank_zero_and_points_certified""]",finite-point-semistability-filter,0,The four noncuspidal points have conductor 50 and are not semistable.
19,v18-x015-03,mod5_irreducible_if_mod3_reducible,"[""frey_curve_semistable"", ""x015_noncuspidal_points_nonsemistable""]",derived-x015-rational-point-classification,0,A semistable curve cannot correspond to a noncuspidal X0(15) point.
20,v19-isog-01,cyclic_isogeny_degree_ledger_ready,"[""frey_exponent_prime_partition_certified""]",internal-isogeny-degree-ledger,0,Allowed and excluded cyclic degrees.
21,v20-ff-01,explicit_kummer_middle_group_scheme_available,"[""finite_flat_endpoint_and_kummer_contract_ready""]",internal-explicit-kummer-group-scheme,0,The disjoint p-component rank-p scheme gives the middle extension.
22,v20-ff-02,oort_tate_raynaud_extension_classification_available,"[""explicit_kummer_middle_group_scheme_available""]",derived-explicit-kummer-classification,0,The valuation criterion is proved from K*/K*^p.
23,v20-fs-01,explicit_g12_integral_lift_constructed,"[""mod3_brauer_character_contract_ready""]",internal-explicit-g12-lift,0,G12 over Z[sqrt(-2)] reduces bijectively to GL2(F3).
24,v20-fs-02,solvable_brauer_character_lift_available,"[""explicit_g12_integral_lift_constructed""]",derived-explicit-g12-lift,0,Restrict the full G12 lift to the actual residual image subgroup.
25,v21-formal-kernel,mazur_formal_immersion_foundation_kernel_available,"[""cyclic_isogeny_degree_ledger_ready""]",imported-foundation-kernel,0,Mazur formal immersion kernel.
26,v21-formal-parent,mazur_formal_immersion_eisenstein_kernel_available,"[""cyclic_isogeny_degree_ledger_ready"", ""mazur_formal_immersion_foundation_kernel_available""]",derived-from-mazur-formal-kernel,0,Formal immersion parent derived.
27,v12-case-08,twisted_x5_genus_zero_family,"[""mod5_irreducible_if_mod3_reducible""]",mixed-geometry,0,Twisted X(5) geometry.
28,v17-ff-03,rho_finite_at_residual_p_if_bad,"[""finite_flat_endpoint_and_kummer_contract_ready"", ""oort_tate_raynaud_extension_classification_available""]",derived-finite-flat-at-p,0,Finite-flat parent assembled.
29,v18-fs-03,complex_artin_lift_exists,"[""mod3_brauer_character_contract_ready"", ""solvable_brauer_character_lift_available""]",derived-finite-image-lift,0,The characteristic-zero finite-image representation is assembled.
30,v19-frey-01,frey_x010_x014_local_specialization_compiled,"[""frey_curve_semistable"", ""frey_full_rational_2_torsion"", ""mazur_formal_immersion_eisenstein_kernel_available""]",internal-frey-cusp-specialization,0,"The p=5,7 Frey point specializes to the distinguished cusp."
31,v19-frey-02,frey_x010_x014_local_obstruction_available,"[""frey_x010_x014_local_specialization_compiled""]",derived-frey-local-obstruction,0,"Formal immersion forces the noncuspidal Frey point to be a cusp, contradiction."
32,v19-hilbert-01,twisted_x5_thin_sets_and_local_opens_compiled,"[""twisted_x5_genus_zero_family""]",internal-thin-set-crt-compiler,0,Finite thin loci and local residue constraints.
33,v19-isog-03,mazur_kenku_isogeny_classification_available,"[""cyclic_isogeny_degree_ledger_ready"", ""mazur_formal_immersion_eisenstein_kernel_available""]",derived-isogeny-classification,0,The rational-isogeny parent is assembled.
34,v19-lt-01,solvable_artin_projective_type_router_ready,"[""complex_artin_lift_exists"", ""mod3_projective_image_solvable""]",internal-artin-type-router,0,"Dihedral, tetrahedral, and octahedral routes."
35,v21-hilbert-kernel,hilbert_specialization_foundation_kernel_available,"[""twisted_x5_thin_sets_and_local_opens_compiled""]",imported-foundation-kernel,0,Hilbert specialization kernel.
36,v21-hilbert-parent,hilbert_irreducibility_weak_approximation_available,"[""twisted_x5_thin_sets_and_local_opens_compiled"", ""hilbert_specialization_foundation_kernel_available""]",derived-from-hilbert-specialization-kernel,0,Parent theorem derived from finite compiler plus kernel.
37,v21-auto-kernel,solvable_automorphy_foundation_kernel_available,"[""solvable_artin_projective_type_router_ready""]",imported-foundation-kernel,0,Solvable automorphy kernel.
38,v21-auto-parent,solvable_base_change_converse_available,"[""solvable_artin_projective_type_router_ready"", ""solvable_automorphy_foundation_kernel_available""]",derived-from-solvable-automorphy-kernel,0,Automorphy parent derived.
39,v10-35,rho_finite_all_odd_nonfinite_2,"[""rho_unramified_all_bad_q_ne_p"", ""rho_finite_at_residual_p_if_bad""]",case-completion,0,Local profile.
40,v18-irred-04,frey_small_prime_irreducibility_certified,"[""frey_full_rational_2_torsion"", ""mazur_kenku_isogeny_classification_available"", ""frey_x010_x014_local_obstruction_available""]",internal-small-prime-isogeny-compiler,0,A rational p-isogeny gives a cyclic 2p-isogeny; all small cases are excluded.
41,v18-irred-05,frey_large_prime_irreducibility_certified,"[""frey_full_rational_2_torsion"", ""mazur_kenku_isogeny_classification_available""]",internal-large-prime-isogeny-compiler,0,"For p>11, 2p is not an allowed rational cyclic-isogeny degree."
42,v18-irred-06,rho_p_irreducible,"[""frey_exponent_prime_partition_certified"", ""frey_small_prime_irreducibility_certified"", ""frey_large_prime_irreducibility_certified""]",proof-by-prime-cases,0,The Frey irreducibility parent is derived.
43,v19-hilbert-03,auxiliary_curve_selected,"[""twisted_x5_thin_sets_and_local_opens_compiled"", ""hilbert_irreducibility_weak_approximation_available""]",derived-hilbert-selection,0,The auxiliary curve satisfies the required local and generic properties.
44,v19-lt-03,weight1_automorphic_representation_exists,"[""solvable_artin_projective_type_router_ready"", ""solvable_base_change_converse_available""]",derived-langlands-tunnell,0,The weight-one automorphic representation is assembled.
45,v20-weight-01,a2_theta_weight_one_series_available,"[""weight1_automorphic_representation_exists""]",internal-a2-theta-modularity,0,The A2 theta series is a weight-one form of character chi_-3.
46,v20-weight-02,mod3_weight_one_eisenstein_congruence_available,"[""a2_theta_weight_one_series_available""]",derived-explicit-theta-congruence,0,All nonconstant coefficients are multiples of 6.
47,v13-hecke-02,hecke_residual_pseudocharacter_absolutely_irreducible,"[""rho_p_irreducible""]",structural,0,The residual trace comes from the already irreducible residual representation.
48,v16-mult-01,multiplicity_theorem_case_partition_certified,"[""rho_p_irreducible"", ""rho_finite_all_odd_nonfinite_2""]",logical-partition,0,Theorem 4.26 applicability is split into good and residual-prime cases.
49,v17-cbn-01,finite_residual_quotient_available,"[""rho_p_irreducible""]",structural,0,Residual image is finite.
50,v17-cbn-03,brauer_nesbitt_character_compiler_ready,"[""finite_residual_quotient_available""]",internal-character-compiler,0,Complete class traces determine semisimplification.
