check_id,description,tier,pass_count,fail_count,universe_count,status,evidence,protects_loop
inv-v13-hecke-compatibility,Every Hecke Frobenius stage reduces compatibly.,adic-certificate,8,0,8,PASS,Live rows from hecke_pseudocharacter_compatibility_v13.,loop-223
inv-v13-stage-compatibility,Every adjacent representation stage reduces compatibly.,adic-certificate,6,0,6,PASS,Live rows from representation_stage_compatibility_v13.,loop-220
inv-v14-module-compat,All module stages reduce compatibly.,adic-certificate,6,0,6,PASS,Live rows from module_stage_compatibility_v14.,loop-237
inv-v14-ordinary-roots,All ordinary unit-root stages pass.,adic-certificate,12,0,12,PASS,Live rows from ordinary_unit_root_stages_v14.,loop-244
inv-v15-compat,Stage compatibility passes.,adic-certificate,6,0,6,PASS,Rows from tate_module_compatibility_v15.,loop-268
inv-v15-stages,Tate stages pass.,adic-certificate,8,0,8,PASS,Rows from tate_module_stages_v15.,loop-267
inv-v17-cohomology,Every finite comparison stage passes.,adic-certificate,36,0,36,PASS,Live rows from betti_etale_stage_certificates_v17.,loop-313
inv-v9-adic-stages,Every finite 7-adic stage is compatible with the previous stage and has the same simultaneous eigenvector.,adic-certificate,8,0,8,PASS,Live rows from adic_eigencharacter_stages_v9.,loop-137
inv-v14-filtrations,All ordinary filtration certificates pass.,adic-local-model,2,0,2,PASS,Live rows from ordinary_filtration_certificates_v14.,loop-246
inv-v11-counterfactuals,Every counterfactual is classified correctly.,adversarial-invariant,7,0,7,PASS,Live rows from tw_patching_counterfactuals_v11.,loop-178
inv-v12-rt-counterfactuals,Every R→T counterfactual is classified correctly.,adversarial-invariant,4,0,4,PASS,Live rows from rt_surjection_counterfactuals_v12.,loop-208
inv-v13-counterfactuals,Every pseudocharacter counterfactual is accepted or rejected correctly.,adversarial-invariant,4,0,4,PASS,Live rows from pseudocharacter_counterfactuals_v13.,loop-221
inv-v14-local-counter,All local-global counterfactuals are classified correctly.,adversarial-invariant,4,0,4,PASS,Live rows from local_global_counterfactuals_v14.,loop-251
inv-v14-module-counter,All module counterfactuals are classified correctly.,adversarial-invariant,5,0,5,PASS,Live rows from module_pseudocharacter_counterfactuals_v14.,loop-239
inv-v15-counterfactuals,Counterfactuals pass.,adversarial-invariant,6,0,6,PASS,Rows from etale_rank_counterfactuals_v15.,loop-278
inv-v16-counterfactuals,Every multiplicity counterfactual behaves as predicted.,adversarial-invariant,5,0,5,PASS,Live rows from multiplicity_two_counterfactuals_v16.,loop-299
inv-v17-counterfactuals,Every batch counterfactual behaves as predicted.,adversarial-invariant,6,0,6,PASS,Live rows from five_edge_counterfactuals_v17.,loop-349
inv-v18-counterfactuals,Every second-five counterfactual behaves as predicted.,adversarial-invariant,6,0,6,PASS,Live rows from second_five_edge_counterfactuals_v18.,loop-400
inv-v19-counterfactuals,Every v19 counterfactual behaves as predicted.,adversarial-invariant,6,0,6,PASS,Live rows from five_edge_counterfactuals_v19.,loop-451
inv-v20-counterfactuals,Every five-import counterfactual behaves as predicted.,adversarial-invariant,6,0,6,PASS,Live rows from five_import_counterfactuals_v20.,loop-499
inv-v21-counterfactuals,Every final-nine counterfactual behaves as predicted.,adversarial-invariant,8,0,8,PASS,Live rows from final_nine_counterfactuals_v21.,loop-570
inv-v6-counterfactuals,All counterfactual component-obstruction tests behave as predicted.,adversarial-invariant,6,0,6,PASS,Live rows from counterfactual_component_tests_v6.,loop-109
inv-v8-counterfactuals,Every multiplicity counterfactual changes the packet dimension as predicted.,adversarial-invariant,3,0,3,PASS,Live rows from multiplicity_counterfactuals_v8.,loop-130
inv-v9-counterfactuals,Every lifting counterfactual is classified as designed.,adversarial-invariant,5,0,5,PASS,Live rows from lifting_counterfactuals_v9.,loop-140
inv-v7-eisenstein-defect-p5,The X0(33)→X0(11)^2 mod-5 map has the predicted one-dimensional defect and is rejected by the non-Eisenstein gate.,adversarial-phase-diagram,1,0,1,PASS,Cokernel dimension 1; non-Eisenstein gate 0.,loop-118
inv-c4-c6-delta,c4^3-c6^2=1728 Delta for the Frey model.,algebraic,6,0,6,PASS,One symbolic witness plus all numerical samples pass.,loop-08
inv-symbolic-discriminant,Symbolic Frey cubic discriminant factorization holds.,algebraic,1,0,1,PASS,SymPy residual is exactly zero.,loop-08
inv-visible-2-torsion,All three y=0 root points lie on each sampled curve.,algebraic,15,0,15,PASS,15 point substitutions checked.,loop-09
inv-2adic-delta-scaling,The change divides Delta by 2^12 and yields Delta_min=2^-8(ABC)^2.,algebraic-local,6,0,6,PASS,Exact invariant recomputation on every normalized sample.,loop-23
inv-2adic-integral-change,The normalized change of variables gives integral coefficients.,algebraic-local,6,0,6,PASS,Checked on every normalized sample and symbolically.,loop-23
inv-v12-rt-surjection,Every R→T surjection certificate passes without its parent import.,algebraic-proof-rule,2,0,2,PASS,Live rows from rt_surjection_certificates_v12.,loop-206
inv-v12-universal-property,Every universal-property certificate passes.,algebraic-proof-rule,2,0,2,PASS,Live rows from deformation_universal_property_certificates_v12.,loop-203
inv-v14-module-pseudo,All module pseudocharacter certificates pass.,algebraic-proof-rule,8,0,8,PASS,Live rows from module_pseudocharacter_certificates_v14.,loop-236
inv-v15-nakayama,Nakayama certificates pass.,algebraic-proof-rule,4,0,4,PASS,Rows from nakayama_freeness_certificates_v15.,loop-266
inv-v15-sign,Sign rank-one certificates pass.,algebraic-proof-rule,2,0,2,PASS,Rows from sign_rank_one_certificates_v15.,loop-274
inv-v16-dimension-models,Every connected/étale dimension model has total dimension twice the connected dimension.,algebraic-proof-rule,4,0,4,PASS,Live rows from connected_etale_dimension_models_v16.,loop-291
inv-v9-rank-one-lift,The rank-one residual eigencharacter and vector lift directly to characteristic zero.,algebraic-proof-rule,1,0,1,PASS,Live rows from rank_one_lift_certificates_v9.,loop-138
inv-residual-modularity-branches,Both mod-3 branches reach a terminal residual-modularity fact.,assembled-with-imports,3,0,3,PASS,Imported and witnessed steps remain individually typed.,loop-53
inv-v21-automorphy,The solvable automorphy finite router passes.,automorphy-contract,1,0,1,PASS,Live rows from automorphy_kernel_contracts_v21.,loop-571
inv-v6-certificate-revision,The 55→11 mod-7 certificate references the correct special fiber and no longer imports the component-group bridge.,bitemporal-correction,1,0,1,PASS,lowering_certificate_revisions_v6 preserves both prior and revised states.,loop-110
inv-v7-certificate-revision,The 55→11 mod-7 lowering certificate no longer imports Ihara.,bitemporal-correction,1,0,1,PASS,lowering_certificate_revisions_v7 retains the previous and current import lists.,loop-120
inv-v8-certificate-revision,The concrete 55→11 lowering certificate no longer imports source-level multiplicity one.,bitemporal-correction,1,0,1,PASS,lowering_certificate_revisions_v8 preserves both import lists.,loop-131
inv-v9-certificate-revision,The concrete lowering certificate has no remaining direct imported edges.,bitemporal-edge-closure,1,0,1,PASS,lowering_certificate_revisions_v9 preserves the prior conditional state and the closed current state.,loop-141
inv-bounded-search-gt2,"No positive solutions appear in the bounded searches for n=3,4,5,7.",bounded-computation,4,0,4,PASS,"This is finite evidence only, not a proof.",loop-05
inv-bounded-search-positive-control,The n=2 bounded search finds Pythagorean triples.,bounded-computation,1,0,1,PASS,Found 165 triples in the search box.,loop-05
inv-v11-limits,"All patched-limit certificates prove isomorphism, regular descent, and freeness.",commutative-algebra,2,0,2,PASS,Live rows from tw_limit_certificates_v11.,loop-176
inv-v20-faithful-module,Every faithful-free-module certificate turns the R→T surjection into an isomorphism.,commutative-algebra,2,0,2,PASS,Live rows from faithful_module_isomorphism_certificates_v20.,loop-495
inv-v9-local-algebra,The localized rank-one Hecke algebra is finite free with scalar action and the expected residue character.,commutative-algebra,1,0,1,PASS,Live rows from localized_hecke_algebras_v9.,loop-136
inv-v21-comparison,The shared comparison compiler passes.,comparison-contract,1,0,1,PASS,Live rows from comparison_kernel_certificates_v21.,loop-554
inv-level2-space-zero,The genus computation gives dim S2(Gamma0(2))=0.,computational-theorem,1,0,1,PASS,"mu=3, cusps=2, e2=1, e3=0, genus=0.",loop-19
inv-ab-delta-valuations-mod-p,"For odd q dividing a or b, v_q(Delta) is divisible by p.",conditional-algebraic,6,0,6,PASS,Observed directly on numerical samples.,loop-13
inv-v16-residual-profiles,Every residual-prime profile is conditionally certified or correctly rejected.,conditional-certificate,4,0,4,PASS,Live rows from residual_prime_multiplicity_profiles_v16.,loop-297
inv-v17-constituents,Every constituent certificate derives the target power.,conditional-certificate,3,0,3,PASS,Live rows from constituent_control_certificates_v17.,loop-307
inv-v18-small-primes,"All p=5,7,11 Frey profiles derive irreducibility conditionally.",conditional-certificate,3,0,3,PASS,Live rows from frey_small_prime_profiles_v18.,loop-367
inv-v19-frey-local,Both Frey local profiles derive the contradiction without the old parent import.,conditional-certificate,2,0,2,PASS,Live rows from frey_local_specialization_profiles_v19.,loop-419
